Species	PE	PECY5
MAST-3C sp2	136	66
MAST-3C sp2	237	112
MAST-3C sp1	139	67
MAST-3C sp1	141	53
MAST-3C sp1	146	63
MAST-3C sp1	127	60
MAST-4A sp1	314	171
MAST-4A sp1	211	135
Cryothecomonas longipes_87.1	624	401
Cryothecomonas longipes_87.1	573	382
Cryothecomonas longipes_87.1	716	362
Cryothecomonas longipes_87.1	720	331
Cryothecomonas longipes_87.1	729	328
MAST-1D sp2	1340	861
MAST-1D sp2	1287	730
MAST-1D sp2	1267	708
MAST-1D sp2	1414	883
MAST-1D sp2	1296	726
MAST-1D sp2	1231	723
MAST-8B sp1	965	898
MAST-8B sp1	805	651
MAST-1C sp1	3167	2192
MAST-1C sp1	2888	1751
Picomonas judraskeda_96.9	2136	1180
Picomonas judraskeda_96.9	1194	1195
Picomonas judraskeda_96.9	1046	998
Picomonas judraskeda_96.9	1547	1304
