Supergroup	Group	approach	perc
Alveolata	MALV-I	metaG	20.97902097902099
Alveolata	MALV-I	metaB	30.396057867137326
Alveolata	MALV-I	SAGs	8.106816098888235
Archaeplastida	Mamiellophyceae	metaG	2.7972027972027984
Archaeplastida	Mamiellophyceae	metaB	4.274157421802936
Archaeplastida	Mamiellophyceae	SAGs	25.79912962668068
Haptista	Prymnesiophyceae	metaG	14.335664335664342
Haptista	Prymnesiophyceae	metaB	4.021186329020523
Haptista	Prymnesiophyceae	SAGs	14.61237883528643
Alveolata	MALV-II	metaG	11.538461538461544
Alveolata	MALV-II	metaB	13.576115312656404
Alveolata	MALV-II	SAGs	5.164214514959309
Stramenopiles	MAST-3	metaG	9.26573426573427
Stramenopiles	MAST-3	metaB	8.5351392658568
Stramenopiles	MAST-3	SAGs	6.545084136295713
Stramenopiles	Chrysophyceae	metaG	2.097902097902099
Stramenopiles	Chrysophyceae	metaB	2.7062636696619085
Stramenopiles	Chrysophyceae	SAGs	14.19200718043944
Stramenopiles	Dictyochophyceae	metaG	4.895104895104897
Stramenopiles	Dictyochophyceae	metaB	5.091043242246163
Stramenopiles	Dictyochophyceae	SAGs	4.810505498010103
Rhizaria	Chlorarachnea	metaG	5.069930069930073
Rhizaria	Chlorarachnea	metaB	4.906585153758992
Rhizaria	Chlorarachnea	SAGs	2.5222299290819374
Cryptista	Cryptomonadales	metaG	0
Cryptista	Cryptomonadales	metaB	0
Cryptista	Cryptomonadales	SAGs	0.11975465679543497
Stramenopiles	MAST-4	metaG	4.020979020979023
Stramenopiles	MAST-4	metaB	2.4401169991304017
Stramenopiles	MAST-4	SAGs	2.1018582742349476
Stramenopiles	MAST-1	metaG	3.321678321678323
Stramenopiles	MAST-1	metaB	2.3689688792853545
Stramenopiles	MAST-1	SAGs	1.67656519513609
Archaeplastida	Picozoa	metaG	2.097902097902099
Archaeplastida	Picozoa	metaB	1.8656618092703334
Archaeplastida	Picozoa	SAGs	1.7963198519315249
Opisthokonta	Choanoflagellata	metaG	1.0489510489510494
Opisthokonta	Choanoflagellata	metaB	1.4967456322959687
Opisthokonta	Choanoflagellata	SAGs	2.461122244621253
Stramenopiles	Pelagophyceae	metaG	1.0489510489510494
Stramenopiles	Pelagophyceae	metaB	0.7641835094468895
Stramenopiles	Pelagophyceae	SAGs	2.345375420607334
Stramenopiles	MAST-8	metaG	0.8741258741258745
Stramenopiles	MAST-8	metaB	1.117288993122348
Stramenopiles	MAST-8	SAGs	1.6203789349272737
Stramenopiles	MAST-7	metaG	0.8741258741258745
Stramenopiles	MAST-7	metaB	0.6245223853065955
Stramenopiles	MAST-7	SAGs	1.6814866193879578
Stramenopiles	Labyrinthulomycetes	metaG	1.0489510489510494
Stramenopiles	Labyrinthulomycetes	metaB	1.6074204853882759
Stramenopiles	Labyrinthulomycetes	SAGs	0.5401263116424244
Telonemia	Telonemia	metaG	1.3986013986013992
Telonemia	Telonemia	metaB	1.2859363883106205
Telonemia	Telonemia	SAGs	0.5401263116424244
Stramenopiles	Bolidophyceae	metaG	0.1748251748251749
Stramenopiles	Bolidophyceae	metaB	0.15810693298901102
Stramenopiles	Bolidophyceae	SAGs	2.345375420607334
Rhizaria	Cercozoa	metaG	1.923076923076924
Rhizaria	Cercozoa	metaB	1.446678436849454
Rhizaria	Cercozoa	SAGs	0.23950931359086994
Stramenopiles	MAST-12	metaG	0.6993006993006996
Stramenopiles	MAST-12	metaB	0.8116155893435922
Stramenopiles	MAST-12	SAGs	0.6598809684378594
Stramenopiles	MAST-2	metaG	0.8741258741258745
Stramenopiles	MAST-2	metaB	0.56127961211099
Stramenopiles	MAST-2	SAGs	0.11975465679543497
Stramenopiles	Stramenopiles	metaG	0
Stramenopiles	Stramenopiles	metaB	0
Stramenopiles	Stramenopiles	SAGs	0
Unknown	Unknown	metaG	0
Unknown	Unknown	metaB	0
Unknown	Unknown	SAGs	0
Bacteria	Bacteria	metaG	0
Bacteria	Bacteria	metaB	0
Bacteria	Bacteria	SAGs	0
