annot	count_bg	avg_count	count_fg	species	pval	pval_adj	species_count
AAA_11	2351.0	16.556338028169016	26.0	ICM0001_COSAG.1_Mamiellophyceae	1.5509006472670625e-05	0.0050481039162358935	1
ABC1	1668.0	11.746478873239436	23.0	ICM0001_COSAG.1_Mamiellophyceae	1.5189744486661345e-06	0.0006987890053643686	1
Acetyltransf_1	3166.0	22.295774647887324	31.0	ICM0001_COSAG.1_Mamiellophyceae	2.6920437238022928e-05	0.007036635197147765	1
Alpha-amyl_C2	45.0	0.3169014084507042	4.0	ICM0001_COSAG.1_Mamiellophyceae	5.615924434509375e-05	0.011960879059498577	1
Alpha-amylase	796.0	5.605633802816901	13.0	ICM0001_COSAG.1_Mamiellophyceae	5.233423043260783e-05	0.011356528003875899	1
Ank	13497.0	95.04929577464787	21.0	ICM0001_COSAG.1_Mamiellophyceae	1.0324749700107527e-07	5.9372473150468336e-05	1
Ank_2	49660.0	349.71830985915494	74.0	ICM0001_COSAG.1_Mamiellophyceae	3.719376292377146e-27	2.1388273369314778e-23	1
Ank_4	5299.0	37.316901408450704	53.0	ICM0001_COSAG.1_Mamiellophyceae	2.861564941876361e-08	1.8283810220288906e-05	1
BCCT	140.0	0.9859154929577464	6.0	ICM0001_COSAG.1_Mamiellophyceae	3.971608041538727e-05	0.009426790224325316	1
Bestrophin_2	998.0	7.028169014084507	14.0	ICM0001_COSAG.1_Mamiellophyceae	0.0001322253576046896	0.02413847361605611	1
Beta-prop_EML_2	642.0	4.52112676056338	12.0	ICM0001_COSAG.1_Mamiellophyceae	2.8585196252974844e-05	0.007146920480553559	1
CBM53	36.0	0.2535211267605634	4.0	ICM0001_COSAG.1_Mamiellophyceae	2.49622246817588e-05	0.006676524327090883	1
CBS	4130.0	29.08450704225352	35.0	ICM0001_COSAG.1_Mamiellophyceae	0.00016101933255598864	0.028935677245725395	1
Chloroa_b-bind	1649.0	11.612676056338028	22.0	ICM0001_COSAG.1_Mamiellophyceae	4.2147533439201816e-06	0.0017953288225342966	1
Cullin_AB	0.0	0.0	4.0	ICM0001_COSAG.1_Mamiellophyceae	3.081296574130729e-10	3.2216356271888647e-07	1
Cys_rich_FGFR	307.0	2.1619718309859155	8.0	ICM0001_COSAG.1_Mamiellophyceae	6.690222617233706e-05	0.013740044700143724	1
D27-like_C	95.0	0.6690140845070423	5.0	ICM0001_COSAG.1_Mamiellophyceae	6.981901357769001e-05	0.014087517108017769	1
DEAD	9993.0	70.37323943661971	73.0	ICM0001_COSAG.1_Mamiellophyceae	1.2935859539799329e-05	0.004508343047491881	1
DUF285	492.0	3.464788732394366	19.0	ICM0001_COSAG.1_Mamiellophyceae	1.5652873737861464e-12	4.062111121068165e-09	1
DUF4336	206.0	1.4507042253521127	6.0	ICM0001_COSAG.1_Mamiellophyceae	0.0003043640228444217	0.04667320835644926	1
DUF7067	16.0	0.1126760563380281	4.0	ICM0001_COSAG.1_Mamiellophyceae	1.41490758004757e-06	0.000678035503255296	1
DnaJ	7313.0	51.5	56.0	ICM0001_COSAG.1_Mamiellophyceae	4.016283114441705e-05	0.009426790224325316	1
GWD1_pHisD	97.0	0.6830985915492958	5.0	ICM0001_COSAG.1_Mamiellophyceae	7.670883299513821e-05	0.015210832556501458	1
Glyco_transf_5	216.0	1.5211267605633805	7.0	ICM0001_COSAG.1_Mamiellophyceae	5.095011837934492e-05	0.01126879445155473	1
Guanylate_cyc	7975.0	56.16197183098591	5.0	ICM0001_COSAG.1_Mamiellophyceae	1.958208971181103e-09	1.608668669825276e-06	1
HARE-HTH	61.0	0.4295774647887324	4.0	ICM0001_COSAG.1_Mamiellophyceae	0.00017013931643993164	0.03010418889808698	1
Helicase_C	13807.0	97.23239436619718	94.0	ICM0001_COSAG.1_Mamiellophyceae	1.2621987927007237e-05	0.004508343047491881	1
LRR_6	43563.0	306.78169014084506	52.0	ICM0001_COSAG.1_Mamiellophyceae	1.9832124244013607e-30	2.2808926093040048e-26	1
MORN	29519.0	207.88028169014083	55.0	ICM0001_COSAG.1_Mamiellophyceae	4.291870626318355e-12	8.226800678881234e-09	1
Methyltransf_32	312.0	2.197183098591549	9.0	ICM0001_COSAG.1_Mamiellophyceae	1.0964919638652618e-05	0.004067985185940121	1
Mg_chelatase	73.0	0.5140845070422535	4.0	ICM0001_COSAG.1_Mamiellophyceae	0.0003267761237587246	0.048182720504475536	1
Mito_carr	17669.0	124.42957746478874	116.0	ICM0001_COSAG.1_Mamiellophyceae	6.647634408702482e-06	0.0027305158333745445	1
Mur_ligase_C	88.0	0.6197183098591549	5.0	ICM0001_COSAG.1_Mamiellophyceae	4.937913081915462e-05	0.011135478108845045	1
NAD_binding_10	950.0	6.690140845070423	13.0	ICM0001_COSAG.1_Mamiellophyceae	0.00028476559971645366	0.04486423510053334	1
PAP_fibrillin	525.0	3.6971830985915495	16.0	ICM0001_COSAG.1_Mamiellophyceae	2.332940450451225e-09	1.788743208042636e-06	1
PH	8242.0	58.04225352112676	4.0	ICM0001_COSAG.1_Mamiellophyceae	1.1321976873994392e-10	1.4480418051672816e-07	1
PK	585.0	4.119718309859155	10.0	ICM0001_COSAG.1_Mamiellophyceae	0.00025951202443100934	0.04325576511566723	1
