ontology	GO.ID	Term	Annotated	Significant	Expected	classic	sag_id	enriched_in
BP	GO:0006412	translation	2479	134	78.22	5.2e-9	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0110102	ribulose bisphosphate carboxylase complex assembly	5	5	0.16	3.1e-8	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006355	regulation of DNA-templated transcription	989	57	31.2	2.2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010207	photosystem II assembly	7	4	0.22	3.2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010206	photosystem II repair	4	3	0.13	1.2e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006096	glycolytic process	217	17	6.85	5.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015969	guanosine tetraphosphate metabolic process	6	3	0.19	5.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0001522	pseudouridine synthesis	299	21	9.43	6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015031	protein transport	1067	57	33.66	6.6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009058	biosynthetic process	11361	547	358.45	7.7e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010024	phytochromobilin biosynthetic process	2	2	0.06	9.9e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0017004	cytochrome complex assembly	24	4	0.76	0.001	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006396	RNA processing	1908	91	60.2	0.00124	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006352	DNA-templated transcription initiation	191	17	6.03	0.00143	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006457	protein folding	354	22	11.17	0.00213	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006260	DNA replication	411	25	12.97	0.00235	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016310	phosphorylation	7326	127	231.14	0.00281	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006364	rRNA processing	519	25	16.37	0.00548	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015986	proton motive force-driven ATP synthesis	112	9	3.53	0.00916	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006535	cysteine biosynthetic process from serine	5	2	0.16	0.00934	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009245	lipid A biosynthetic process	15	3	0.47	0.01074	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009306	protein secretion	6	2	0.19	0.01371	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000160	phosphorelay signal transduction system	142	10	4.48	0.0149	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009231	riboflavin biosynthetic process	64	6	2.02	0.01546	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006351	DNA-templated transcription	1815	102	57.27	0.01963	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016226	iron-sulfur cluster assembly	74	6	2.33	0.02941	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006099	tricarboxylic acid cycle	75	6	2.37	0.03115	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006760	folic acid-containing compound metabolic process	33	3	1.04	0.03153	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0010167	response to nitrate	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000902	cell morphogenesis	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015706	nitrate transmembrane transport	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009555	pollen development	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006808	regulation of nitrogen utilization	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0015995	chlorophyll biosynthetic process	1	1	0.03	0.03155	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0009143	nucleoside triphosphate catabolic process	39	4	1.23	0.03385	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006139	nucleobase-containing compound metabolic process	8428	388	265.91	0.03504	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0000413	protein peptidyl-prolyl isomerization	515	24	16.25	0.039	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006886	intracellular protein transport	893	41	28.18	0.04172	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0016192	vesicle-mediated transport	987	45	31.14	0.04429	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	125	8	3.94	0.04488	ICM0001_COSAG.1_Mamiellophyceae	PF
BP	GO:0006741	NADP biosynthetic process	26	3	0.82	0.04752	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009654	photosystem II oxygen evolving complex	24	17	0.84	3.7e-20	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0019898	extrinsic component of membrane	22	14	0.77	8.4e-16	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009523	photosystem II	33	24	1.15	1.7e-9	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0005840	ribosome	1388	86	48.31	2.6e-7	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009522	photosystem I	13	8	0.45	2e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009538	photosystem I reaction center	7	4	0.24	4.7e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009512	cytochrome b6f complex	2	2	0.07	0.0012	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0019867	outer membrane	97	9	3.38	0.0018	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0043231	intracellular membrane-bounded organelle	3253	134	113.23	0.0122	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0009507	chloroplast	1	1	0.03	0.0348	ICM0001_COSAG.1_Mamiellophyceae	PF
CC	GO:0045259	proton-transporting ATP synthase complex	23	3	0.8	0.0443	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003723	RNA binding	3663	187	99.35	2.2e-13	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003735	structural constituent of ribosome	1406	87	38.13	2.3e-12	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003676	nucleic acid binding	9263	458	251.24	5.9e-12	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:2001070	starch binding	39	12	1.06	3.1e-10	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003677	DNA binding	2765	130	74.99	2.1e-7	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0010277	chlorophyllide a oxygenase [overall] activity	5	4	0.14	2.6e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004556	alpha-amylase activity	5	4	0.14	2.6e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0044183	protein folding chaperone	113	13	3.06	3.5e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	975	51	26.44	9.5e-6	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0042910	xenobiotic transmembrane transporter activity	145	14	3.93	4.5e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0015297	antiporter activity	400	26	10.85	5.9e-5	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008168	methyltransferase activity	1768	90	47.95	1.3e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	1738	69	47.14	1.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0009982	pseudouridine synthase activity	268	19	7.27	1.6e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051536	iron-sulfur cluster binding	531	39	14.4	1.8e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008184	glycogen phosphorylase activity	5	3	0.14	1.9e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004743	pyruvate kinase activity	60	8	1.63	2.1e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0030955	potassium ion binding	60	8	1.63	2.1e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016887	ATP hydrolysis activity	3281	121	88.99	5e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051539	4 iron, 4 sulfur cluster binding	86	9	2.33	5.5e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016987	sigma factor activity	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0050897	cobalt ion binding	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016636	oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor	2	2	0.05	7.4e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	843	39	22.86	7.7e-4	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004176	ATP-dependent peptidase activity	96	9	2.6	0.00122	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0043169	cation binding	11408	264	309.42	0.00156	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0004386	helicase activity	518	30	14.05	0.00162	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016984	ribulose-bisphosphate carboxylase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008716	D-alanine-D-alanine ligase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016851	magnesium chelatase activity	3	2	0.08	0.00217	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0000287	magnesium ion binding	335	19	9.09	0.00228	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0071949	FAD binding	191	13	5.18	0.00231	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016881	acid-amino acid ligase activity	93	9	2.52	0.00266	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	72	7	1.95	0.0034	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0003743	translation initiation factor activity	336	18	9.11	0.00527	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0008373	sialyltransferase activity	14	3	0.38	0.0058	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051287	NAD binding	651	26	17.66	0.00616	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0005524	ATP binding	16735	503	453.9	0.00626	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0009001	serine O-acetyltransferase activity	5	2	0.14	0.00696	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	85	8	2.31	0.0074	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	343	20	9.3	0.00742	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0051537	2 iron, 2 sulfur cluster binding	104	8	2.82	0.00751	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0046933	proton-transporting ATP synthase activity, rotational mechanism	46	5	1.25	0.00797	ICM0001_COSAG.1_Mamiellophyceae	PF
MF	GO:0043565	sequence-specific DNA binding	152	10	4.12	0.00883	ICM0001_COSAG.1_Mamiellophyceae	PF
