Supergroup	Group	nsags	complete	partial	AT-KS	KS	ACP-AT-KS	ACP-KS	Type II	Type III	Type II_ngenes	Type III_ngenes
Alveolata	Ciliophora	1	0	0	0	0	0	0	0	0	0	0
Alveolata	Dinoflagellata	1	0	0	0	0	0	0	1	0	1	0
Alveolata	MALV-I	4	1	1	0	1	3	0	0	0	0	0
Alveolata	MALV-II	5	0	2	2	3	0	0	0	0	0	0
Archaeplastida	Chlorodendrophyceae	2	0	2	0	7	0	16	0	0	0	0
Archaeplastida	Chlorophyta	1	0	0	0	0	0	0	0	0	0	0
Archaeplastida	Mamiellophyceae	11	1	9	2	34	3	54	1	2	2	2
Archaeplastida	Picozoa	4	2	2	0	2	15	2	2	0	7	0
Discoba	Kinetoplastea	1	0	1	0	1	0	0	1	0	1	0
Haptista	Centroplasthelida	2	2	0	2	3	39	4	2	0	4	0
Haptista	Prymnesiophyceae	45	27	18	16	504	156	2260	42	24	271	42
Opisthokonta	Basidiomycota	1	0	1	2	1	0	0	0	0	0	0
Opisthokonta	Choanoflagellata	5	1	3	4	4	3	6	1	0	2	0
Opisthokonta	Tunicaraptor	1	0	1	0	1	0	0	1	0	1	0
Rhizaria	Cercozoa	2	0	1	2	0	0	0	0	0	0	0
Rhizaria	Chlorarachnea	3	1	2	0	4	6	0	3	0	5	0
Rhizaria	Endomyxa	1	1	0	0	1	3	0	0	0	0	0
Stramenopiles	Bolidophyceae	1	0	1	0	3	0	0	0	1	0	1
Stramenopiles	Chrysophyceae	13	5	7	6	34	18	10	4	6	4	8
Stramenopiles	Diatomea	6	0	6	0	14	0	0	1	4	1	5
Stramenopiles	Dictyochophyceae	4	2	1	2	4	12	16	3	2	6	5
Stramenopiles	Labyrinthulomycetes	3	0	3	2	5	0	6	2	0	3	0
Stramenopiles	MAST-1	4	1	1	0	0	3	2	1	0	3	0
Stramenopiles	MAST-12	1	0	1	0	1	0	0	1	0	1	0
Stramenopiles	MAST-2	1	1	0	0	0	6	0	1	0	1	0
Stramenopiles	MAST-3	8	5	2	6	10	15	8	4	0	8	0
Stramenopiles	MAST-4	2	1	1	4	5	3	0	2	1	3	1
Stramenopiles	MAST-7	6	2	2	10	6	18	6	4	0	12	0
Stramenopiles	MAST-8	3	0	2	2	4	0	0	0	0	0	0
Stramenopiles	MAST-9	1	0	1	2	2	0	0	1	0	1	0
Stramenopiles	MOCH-2	1	0	1	0	3	0	10	1	0	1	0
Stramenopiles	Pinguiophyceae	1	1	0	0	1	3	0	1	0	1	0
Telonemia	Telonemia	1	1	0	0	2	6	0	1	0	1	0
Unknown	Unknown	1	0	1	0	1	0	0	1	0	2	0
