lca_taxonomy	sample	abundance	perc
Mamiellophyceae;ICM0001_COSAG.1	BL180116	1649624	0.7199846850102792
Mamiellophyceae;ICM0001_COSAG.1	BL180213	1116064	0.550716159867602
Mamiellophyceae;ICM0001_COSAG.1	BL180306	2209748	0.7252913550279697
Mamiellophyceae;ICM0001_COSAG.1	BL180410	658350	0.3057456156352721
Mamiellophyceae;ICM0001_COSAG.1	BL180508	122514	0.05560272851212828
Mamiellophyceae;ICM0001_COSAG.1	BL180613	1121	5.068073403497653e-4
Mamiellophyceae;ICM0001_COSAG.1	BL180704	891	4.500703200778885e-4
Mamiellophyceae;ICM0001_COSAG.1	BL180801	135	6.553662177200947e-5
Mamiellophyceae;ICM0001_COSAG.1	BL180913	93	3.97633919127623e-5
Mamiellophyceae;ICM0001_COSAG.1	BL181009	38566	0.01526777139730496
Mamiellophyceae;ICM0001_COSAG.1	BL181105	276132	0.12666080268964994
Mamiellophyceae;ICM0001_COSAG.1	BL181211	1548713	0.6262775102734409
Mamiellophyceae;ICM0001_COSAG.1	BL190115	1834254	0.7260039773017514
Mamiellophyceae;ICM0001_COSAG.1	BL190212	2026334	0.7003128748981007
Mamiellophyceae;ICM0001_COSAG.1	BL190312	2029273	0.6875350137446152
Mamiellophyceae;ICM0001_COSAG.1	BL190514	62570	0.02991013917674868
Mamiellophyceae;ICM0001_COSAG.1	BL190611	719084	0.257997132913917
Mamiellophyceae;ICM0001_COSAG.1	BL190709	68410	0.03110368090353206
Mamiellophyceae;ICM0001_COSAG.1	BL190805	71	2.958913576285643e-5
Mamiellophyceae;ICM0001_COSAG.1	BL190917	18942	0.00821027521274222
Mamiellophyceae;ICM0001_COSAG.1	BL191203	206939	0.07638077426901393
Mamiellophyceae;ICM0001_COSAG.1	BL200130	452878	0.2254560117886017
Mamiellophyceae;ICM0001_COSAG.1	BL200211	814130	0.373107593638008
Mamiellophyceae;ICM0001_COSAG.1	BL200310	751006	0.3292769715978564
Mamiellophyceae;ICM0001_COSAG.1	BL200512	16391	0.00822084989494455
Mamiellophyceae;ICM0001_COSAG.1	BL200609	687	2.9267396674778975e-4
Mamiellophyceae;ICM0001_COSAG.1	BL200707	1506	7.506595785527965e-4
Mamiellophyceae;ICM0001_COSAG.1	BL200804	1219	5.671194314349955e-4
Mamiellophyceae;ICM0001_COSAG.1	BL200915	6274	0.00265780152182139
Mamiellophyceae;ICM0001_COSAG.1	BL201013	8818	0.00403701369287471
Mamiellophyceae;ICM0001_COSAG.1	BL201110	53649	0.02859833702021544
Mamiellophyceae;ICM0001_COSAG.1	BL201215	776027	0.3053579876355881
Mamiellophyceae;ICM0062_COSAG.1	BL180116	92774	0.04049156605817061
Mamiellophyceae;ICM0062_COSAG.1	BL180213	56526	0.02789247001307816
Mamiellophyceae;ICM0062_COSAG.1	BL180306	101713	0.03338460294746726
Mamiellophyceae;ICM0062_COSAG.1	BL180410	19651	0.00912615947877076
Mamiellophyceae;ICM0062_COSAG.1	BL180508	4422	0.00200691566254167
Mamiellophyceae;ICM0062_COSAG.1	BL180613	440	1.9892527185896223e-4
Mamiellophyceae;ICM0062_COSAG.1	BL180704	8785	0.00443756202231677
Mamiellophyceae;ICM0062_COSAG.1	BL180801	2068	0.00100392395425567
Mamiellophyceae;ICM0062_COSAG.1	BL180913	39	1.6674970802126127e-5
Mamiellophyceae;ICM0062_COSAG.1	BL181009	231905	0.09180813477913208
Mamiellophyceae;ICM0062_COSAG.1	BL181105	124270	0.05700222339403907
Mamiellophyceae;ICM0062_COSAG.1	BL181211	645307	0.26095297277289164
Mamiellophyceae;ICM0062_COSAG.1	BL190115	250896	0.0993054908911744
Mamiellophyceae;ICM0062_COSAG.1	BL190212	194569	0.06724418371110022
Mamiellophyceae;ICM0062_COSAG.1	BL190312	83254	0.02820716583441173
Mamiellophyceae;ICM0062_COSAG.1	BL190514	20643	0.00986790799145953
Mamiellophyceae;ICM0062_COSAG.1	BL190611	152617	0.05475681343754454
Mamiellophyceae;ICM0062_COSAG.1	BL190709	471973	0.21458993695487116
Mamiellophyceae;ICM0062_COSAG.1	BL190805	3772	0.00157197493095062
Mamiellophyceae;ICM0062_COSAG.1	BL190917	458820	0.19887226655635024
Mamiellophyceae;ICM0062_COSAG.1	BL191203	57293	0.02114673261296621
Mamiellophyceae;ICM0062_COSAG.1	BL200130	72092	0.03588952168545143
Mamiellophyceae;ICM0062_COSAG.1	BL200211	82583	0.03784695860047856
Mamiellophyceae;ICM0062_COSAG.1	BL200310	49789	0.02182988037230817
Mamiellophyceae;ICM0062_COSAG.1	BL200512	469	2.352253432206085e-4
Mamiellophyceae;ICM0062_COSAG.1	BL200609	937	3.991783214595036e-4
Mamiellophyceae;ICM0062_COSAG.1	BL200707	29027	0.01446839016377956
Mamiellophyceae;ICM0062_COSAG.1	BL200804	137990	0.06419754745177608
Mamiellophyceae;ICM0062_COSAG.1	BL200915	50409	0.02135433804805464
Mamiellophyceae;ICM0062_COSAG.1	BL201013	11208	0.0051311918201111
Mamiellophyceae;ICM0062_COSAG.1	BL201110	11102	0.00591807373107479
Mamiellophyceae;ICM0062_COSAG.1	BL201215	107145	0.04216036501979323
Mamiellophyceae;ICM0030_SAG.1	BL180116	208141	0.09084393311610678
Mamiellophyceae;ICM0030_SAG.1	BL180213	299031	0.14755534091357564
Mamiellophyceae;ICM0030_SAG.1	BL180306	606450	0.19905117789753052
Mamiellophyceae;ICM0030_SAG.1	BL180410	49405	0.02294427301657267
Mamiellophyceae;ICM0030_SAG.1	BL180508	15898	0.00721527480847752
Mamiellophyceae;ICM0030_SAG.1	BL180613	227	1.02627356163601e-4
Mamiellophyceae;ICM0030_SAG.1	BL180704	80	4.041035421574757e-5
Mamiellophyceae;ICM0030_SAG.1	BL180801	313	1.5194787121954788e-4
Mamiellophyceae;ICM0030_SAG.1	BL180913	10	4.275633539006699e-6
Mamiellophyceae;ICM0030_SAG.1	BL181009	5547	0.00219598423328451
Mamiellophyceae;ICM0030_SAG.1	BL181105	4706	0.00215862608266152
Mamiellophyceae;ICM0030_SAG.1	BL181211	51700	0.02090674468486859
Mamiellophyceae;ICM0030_SAG.1	BL190115	223127	0.08831442616093947
Mamiellophyceae;ICM0030_SAG.1	BL190212	397238	0.13728777476900242
Mamiellophyceae;ICM0030_SAG.1	BL190312	432603	0.14656958898628317
Mamiellophyceae;ICM0030_SAG.1	BL190514	13555	0.00647965377242813
Mamiellophyceae;ICM0030_SAG.1	BL190611	2219	7.961457047243186e-4
Mamiellophyceae;ICM0030_SAG.1	BL190709	1894	8.611368459478106e-4
Mamiellophyceae;ICM0030_SAG.1	BL190805	73	3.0422632544908723e-5
Mamiellophyceae;ICM0030_SAG.1	BL190917	243	1.0532662214636049e-4
Mamiellophyceae;ICM0030_SAG.1	BL191203	31663	0.01168675047081404
Mamiellophyceae;ICM0030_SAG.1	BL200130	145365	0.07236697996734238
Mamiellophyceae;ICM0030_SAG.1	BL200211	290407	0.13309060831271785
Mamiellophyceae;ICM0030_SAG.1	BL200310	182854	0.080171944517826
Mamiellophyceae;ICM0030_SAG.1	BL200512	5851	0.00293454900465624
Mamiellophyceae;ICM0030_SAG.1	BL200609	25	1.0650435471171389e-5
Mamiellophyceae;ICM0030_SAG.1	BL200707	52	2.591918863528912e-5
Mamiellophyceae;ICM0030_SAG.1	BL200804	10	4.652333317760423e-6
Mamiellophyceae;ICM0030_SAG.1	BL200915	39	1.652123993481583e-5
Mamiellophyceae;ICM0030_SAG.1	BL201013	714	3.26879992822924e-4
Mamiellophyceae;ICM0030_SAG.1	BL201110	10663	0.005684058745672
Mamiellophyceae;ICM0030_SAG.1	BL201215	67389	0.02651682148787947
lca:Mamiellophyceae	BL180116	223955	0.09774601371674824
lca:Mamiellophyceae	BL180213	154758	0.07636455567851876
lca:Mamiellophyceae	BL180306	313607	0.10293320594758158
lca:Mamiellophyceae	BL180410	81432	0.03781799494556311
lca:Mamiellophyceae	BL180508	16297	0.00739636014302165
lca:Mamiellophyceae	BL180613	457	2.0661102099896764e-4
lca:Mamiellophyceae	BL180704	1158	5.84939877272946e-4
