lca_taxonomy	BL180116	BL180213	BL180306	BL180410	BL180508	BL180613	BL180704	BL180801	BL180913	BL181009	BL181105	BL181211	BL190115	BL190212	BL190312	BL190514	BL190611	BL190709	BL190805	BL190917	BL191203	BL200130	BL200211	BL200310	BL200512	BL200609	BL200707	BL200804	BL200915	BL201013	BL201110	BL201215
Mamiellophyceae;ICM0001_COSAG.1	1663780	1125518	2228552	663556	123353	1129	898	137	96	38821	278367	1560593	1849607	2042303	2046993	62928	724141	68590	67	18921	208638	456491	821160	757267	16537	694	1516	1177	6360	8858	54105	782720
Mamiellophyceae;ICM0062_COSAG.1	93594	57003	102361	19775	4470	430	8894	2109	40	235225	125750	653790	253250	196936	83628	20872	154661	478217	3812	464957	57986	72954	83523	50278	486	950	29400	139829	51101	11410	11252	108216
Mamiellophyceae;ICM0030_SAG.1	208143	299037	606456	49408	15898	227	80	313	10	5547	4706	51700	223132	397243	432610	13555	2219	1894	73	243	31663	145368	290410	182855	5851	25	52	10	39	714	10663	67389
lca:Mamiellophyceae	229910	158896	322608	83717	16901	475	1185	595	342	30804	45054	284039	269896	284334	278469	11329	100469	54398	777	46564	32840	71598	118527	100804	3168	440	3043	15171	5952	2892	8440	105682
Prymnesiophyceae;ICM0065_COSAG.1	23410	32399	35331	3299	97461	27633	39217	84857	305732	285907	101299	108873	80470	29365	12945	243958	144891	47599	12500	78201	61257	10088	10245	36917	69595	11562	185430	14474	38384	111787	39159	142784
MAST-4;ICM0010_COSAG.1	42589	38633	75505	77914	137419	36861	11496	52252	230173	119470	41695	41460	32887	93509	50105	123023	156217	99127	1377	22394	49070	44982	13327	159083	33363	66771	117732	1133	14451	126544	61037	61203
Mamiellophyceae;ICM0028_COSAG.1	86893	65133	64562	5115	3659	199	525	1005	242	65409	57972	679769	287984	248666	171581	7088	4235	19119	1865	45506	43152	53946	56622	34670	3055	248	1614	71110	8181	2905	2840	48201
Prymnesiophyceae;ICM0003_COSAG.1	181547	195688	192899	2981	10421	262	107	80	2061	10972	16119	50792	183339	176366	166005	16942	1794	2289	12	2016	53404	112883	72155	107278	7099	9	91	12	1704	20758	26380	122760
Mamiellophyceae;ICM0077_COSAG.1	493701	148862	149506	13123	1414	69	85	159	55	9632	25266	19485	53294	37212	72947	2144	4477	3579	59	9136	22955	18142	22163	27588	287	30	164	1432	8926	46430	23778	27851
Chlorarachnea;ICM0041_COSAG.1	47	54	80	31	559	62500	58580	133374	84928	20780	510	250	118	89	64	4710	29131	35000	33353	71052	20006	49	43	2725	8627	51222	120156	216386	102817	44689	21188	3657
MOCH-2;ICM0075_COSAG.1	25360	40728	51911	9752	47814	4086	268	1877	6175	49291	64461	99349	114087	37480	14803	57338	50667	6867	15	5764	55212	18238	11014	22107	29551	861	2773	73	852	47437	28943	149664
Mamiellophyceae;ICM0096_SAG.1	72068	95510	189649	14835	5027	59	42	113	14	3537	2312	21772	68888	125438	137156	4123	1053	705	29	654	10196	44800	85617	53565	1727	23	41	107	307	565	3844	22090
Choanoflagellata;ICM0019_COSAG.1	23	24	21	24	18169	47688	126287	107836	61702	11942	304	4983	1132	173	297	1624	13167	31229	6274	19007	666	45	34	214	5518	6689	124118	22176	29681	19643	10696	1481
Chrysophyceae;ICM0048_COSAG.1	66	56	86	100	28602	72178	3142	24224	95378	9655	179	49	92	76	284	28848	95280	41774	4079	6602	261	136	78	1149	16121	10864	58251	2337	2429	16971	5353	626
Dictyochophyceae;ICM0016_COSAG.1	181	110	112	54	11993	6601	324	11690	78431	10418	845	713	745	162	358	29070	11030	16811	1149	4334	1242	70	41	2612	5678	2365	236626	589	1782	19828	4849	3231
Chrysophyceae;ICM0098_SAG.1	3	2	7	4	1011	64290	3447	13345	94879	30238	540	51	36	17	24	8428	21334	40687	1051	14721	841	22	0	232	2353	47183	53585	271	3139	44324	10588	2809
MAST-4;ICM0042_COSAG.1	1252	1090	2024	2086	3322	865	501	3980	76226	113291	6501	15853	4070	2598	1444	3178	3286	2087	2373	20041	16096	1803	410	4092	882	1111	3436	2260	43178	70538	17156	18030
lca:Prymnesiophyceae	9887	13716	20232	15796	12794	7341	5040	13510	22873	23396	13224	12277	28040	15835	24615	24467	18793	14197	2954	9365	8117	6421	6223	9910	14316	3915	15773	7074	5008	15037	7150	13349
Prymnesiophyceae;ICM0114_SAG.1	810	1589	2619	2384	29545	14661	1807	5564	32291	24251	6672	2318	7450	2340	2591	92965	57856	20471	476	5687	3149	748	1627	4344	4239	5521	15509	401	803	27249	7458	4420
Chrysophyceae;ICM0079_COSAG.1	2	5	7	8	2224	16085	5172	28581	107921	14706	240	22	11	32	47	21349	8560	51003	1407	8850	137	23	11	843	1950	18028	32060	1221	2027	17400	5399	916
