Cell name	SAG_id
RM2_A4	AH6110
RM2_A8	AH6113
RM2_B10	AH6122
RM2_B11	AH2984
RM2_B5	AH2981
RM2_C2	AH2985
P3_23	P3_23
P3_81	P3_81
P4_08	P4_08
P4_30	P4_30
P4_53	P4_53
RM2_A10	AH6115
RM2_C9	AH2987
P1_88	P1_88
P2_71	P2_71
RM2_C10	AH2988
P3_93	P3_93
RM2_A7	AH6112
RM2_D6	AH2989
RM2_D7	AH2990
RM10_B7	AH2991
RM10_B10	AH6144
RM10_B9	AH2992
P1_18	P1_18
P1_58	P1_58
P2_36	P2_36
RM10_B11	AH2993
RM10_C3	AH6147
RM10_C9	AH2994
RM10_D4	AH6153
RM10_D3	AH2996
RM10_D5	AH2997
RM10_C8	AH6149
RM10_D6	AH2998
GC1003827_F11	GC1003827_F11
RM10_D9	AH2999
RM10_E10	AP7860
RM11_A2	AP7859
RM11_D9	AP7861
RM11_H6	AP7862
RM10_D10	AH3000
RM14_A2	AH6158
RM14_A3	AH6159
RM14_A5	AH6161
RM14_B3	AH3001
RM14_B6	AH6170
RM14_B8	AH6172
RM14_B7	AH3002
RM2_C7	AH6127
RM2_A5	AH6111
RM2_B4	AH2980
P3_14	P3_14
P3_45	P3_45
RM10_A2	AH6134
RM10_A5	AH6136
RM10_A6	AH6137
P1_11	P1_11
P2_14	P2_14
P2_18	P2_18
P2_72	P2_72
P2_84	P2_84
P3_08	P3_08
GC1003827_F08	GC1003827_F08
RM10_A11	AH6138
RM10_B3	AH6139
RM10_B5	AH6140
RM10_B6	AH6141
RM14_A4	AH6160
RM14_B10	AH6174
RM14_A8	AH6163
RM14_A10	AH6165
RM14_A11	AH6166
RM2_B6	AH6119
RM2_C3	AH6125
P3_91	P3_91
P4_07	P4_07
P4_26	P4_26
P4_29	P4_29
P4_51	P4_51
P4_76	P4_76
RM2_C5	AH6126
RM2_C11	AH6130
RM2_D3	AH6131
RM10_A3	AH6135
RM10_C2	AH6146
RM14_B2	AH6167
RM14_B5	AH6169
RM14_B9	AH6173
RM14_E8	AP7863
RM14_F12	AP7864
RM14_H6	AP7865
RM14_B11	AH6175
RM14_C5	AH6178
RM14_C7	AH6179
RM14_D2	AH6181
P1_05	P1_05
P1_17	P1_17
P1_43	P1_43
P1_64	P1_64
P1_83	P1_83
P1_90	P1_90
P1_91	P1_91
P2_05	P2_05
P2_06	P2_06
P2_15	P2_15
P2_29	P2_29
P2_31	P2_31
P2_33	P2_33
P2_37	P2_37
P2_40	P2_40
P2_48	P2_48
P2_51	P2_51
P2_80	P2_80
P2_81	P2_81
P2_94	P2_94
P3_04	P3_04
P3_13	P3_13
P1_39	P1_39
P1_93	P1_93
P2_10	P2_10
P2_39	P2_39
P2_64	P2_64
P2_65	P2_65
P2_85	P2_85
P2_86	P2_86
P3_03	P3_03
P3_11	P3_11
GC1003827_E10	GC1003827_E10
GC1003837_A07	GC1003837_A07
P1_14	P1_14
P1_27	P1_27
P1_29	P1_29
P1_33	P1_33
P1_47	P1_47
P1_19	P1_19
P2_35	P2_35
P3_02	P3_02
P1_35	P1_35
GC1003827_G01	GC1003827_G01
P1_38	P1_38
P1_46	P1_46
P1_49	P1_49
GC1003828_A02	GC1003828_A02
P1_53	P1_53
P3_29	P3_29
P4_25	P4_25
P1_60	P1_60
P2_59	P2_59
P1_65	P1_65
P2_04	P2_04
GC1003827_F05	GC1003827_F05
P1_84	P1_84
P2_69	P2_69
GC1003837_C03	GC1003837_C03
P2_45	P2_45
P4_44	P4_44
P4_57	P4_57
GC1003827_G04	GC1003827_G04
P1_92	P1_92
P2_01	P2_01
P2_58	P2_58
P2_78	P2_78
P2_89	P2_89
P2_79	P2_79
P2_82	P2_82
P2_92	P2_92
P3_10	P3_10
P3_15	P3_15
P3_21	P3_21
P3_31	P3_31
P3_38	P3_38
P3_40	P3_40
P3_46	P3_46
P3_51	P3_51
P3_63	P3_63
P3_66	P3_66
P3_71	P3_71
P3_94	P3_94
P4_02	P4_02
P4_09	P4_09
P4_15	P4_15
P4_24	P4_24
P4_31	P4_31
P4_35	P4_35
P4_39	P4_39
P4_49	P4_49
P4_62	P4_62
P4_68	P4_68
P4_69	P4_69
P4_72	P4_72
P4_73	P4_73
P4_66	P4_66
P3_18	P3_18
P3_34	P3_34
P3_37	P3_37
P3_41	P3_41
P3_52	P3_52
P3_84	P3_84
P4_59	P4_59
P3_57	P3_57
P3_20	P3_20
P3_44	P3_44
P3_60	P3_60
P3_83	P3_83
P3_87	P3_87
P3_88	P3_88
P3_92	P3_92
P4_33	P4_33
P4_85	P4_85
P3_24	P3_24
GC1003828_A09	GC1003828_A09
GC1003828_B10	GC1003828_B10
P3_27	P3_27
P4_43	P4_43
P4_55	P4_55
P3_35	P3_35
P3_49	P3_49
P3_53	P3_53
P3_54	P3_54
P3_62	P3_62
P3_64	P3_64
P3_68	P3_68
P4_54	P4_54
P4_82	P4_82
P3_70	P3_70
P3_72	P3_72
