project_ena	sample_ena	sample_original	sag_id	sample_description	collection_date
PRJEB108838	ERS29379248	AH2981	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379250	AH2984	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379251	AH2985	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379253	AH6110	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379255	AH6113	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379256	AH6122	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379258	P3_23	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379260	P3_81	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379263	P4_08	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379265	P4_30	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379267	P4_53	ICM0001_COSAG.1_Mamiellophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379269	AH2987	ICM0002_COSAG.1_Chrysophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379272	AH6115	ICM0002_COSAG.1_Chrysophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379273	P1_88	ICM0002_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379276	P2_71	ICM0002_COSAG.1_Chrysophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379278	AH2988	ICM0003_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379280	P3_93	ICM0003_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379282	AH2989	ICM0004_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379285	AH2990	ICM0004_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379286	AH2991	ICM0005_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379288	AH2992	ICM0006_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379290	AH6144	ICM0006_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379292	P1_18	ICM0006_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379294	P1_58	ICM0006_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379296	P2_36	ICM0006_COSAG.1_MAST-3	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379298	AH2993	ICM0007_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379300	AH2994	ICM0007_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379301	AH6147	ICM0007_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379303	AH6153	ICM0007_COSAG.1_MAST-3	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379305	AH2996	ICM0008_SAG.1_Choanoflagellata	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379307	AH2997	ICM0009_SAG.1_Labyrinthulomycetes	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379309	AH2998	ICM0010_COSAG.1_MAST-4	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379311	AH6149	ICM0010_COSAG.1_MAST-4	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379313	GC1003827_F11_1	ICM0010_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379315	GC1003827_F11_2	ICM0010_COSAG.1_MAST-4	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379316	AH2999	ICM0011_COSAG.1_Chlorarachnea	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379317	AP7859	ICM0011_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379318	AP7860	ICM0011_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379319	AP7861	ICM0011_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379320	AP7862	ICM0011_COSAG.1_Chlorarachnea	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379321	AH3000	ICM0012_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379322	AH3001	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379323	AH6158	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379324	AH6159	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379325	AH6161	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379326	AH6170	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379327	AH6172	ICM0013_COSAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379328	AH3002	ICM0014_SAG.1_MAST-1	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379329	AH6111	ICM0015_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379330	AH6127	ICM0015_COSAG.1_Prymnesiophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379331	AH2980	ICM0016_COSAG.1_Dictyochophyceae	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379332	P3_14	ICM0016_COSAG.1_Dictyochophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379333	P3_45	ICM0016_COSAG.1_Dictyochophyceae	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379334	AH6134	ICM0017_SAG.1_MAST-8	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379335	AH6136	ICM0018_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379336	AH6137	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2018-05-08
PRJEB108838	ERS29379337	GC1003827_F08_1	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379338	GC1003827_F08_2	ICM0019_COSAG.1_Choanoflagellata	Sample not used for final dataset	2020-09-15
PRJEB108838	ERS29379339	P1_11	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379340	P2_14	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379341	P2_18	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379342	P2_72	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379343	P2_84	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379344	P3_08	ICM0019_COSAG.1_Choanoflagellata	Sample used for final dataset	2020-09-15
PRJEB108838	ERS29379345	AH6138	ICM0020_SAG.1_MALV-II	Sample used for final dataset	2018-05-08
PRJEB108838	ERS29379346	AH6139	ICM0021_SAG.1_MALV-I	Sample used for final dataset	2018-05-08
