sag_id	cluster
ICM0001_COSAG.1_Mamiellophyceae	1
ICM0002_COSAG.1_Chrysophyceae	4
ICM0003_COSAG.1_Prymnesiophyceae	1
ICM0004_COSAG.1_Prymnesiophyceae	1
ICM0005_SAG.1_MALV-I	5
ICM0006_COSAG.1_MAST-3	1
ICM0007_COSAG.1_MAST-3	1
ICM0008_SAG.1_Choanoflagellata	1
ICM0009_SAG.1_Labyrinthulomycetes	2
ICM0010_COSAG.1_MAST-4	2
ICM0011_COSAG.1_Chlorarachnea	5
ICM0012_SAG.1_MALV-I	5
ICM0013_COSAG.1_MAST-1	2
ICM0014_SAG.1_MAST-1	5
ICM0015_COSAG.1_Prymnesiophyceae	1
ICM0016_COSAG.1_Dictyochophyceae	2
ICM0017_SAG.1_MAST-8	1
ICM0018_SAG.1_MALV-I	3
ICM0019_COSAG.1_Choanoflagellata	2
ICM0020_SAG.1_MALV-II	1
ICM0021_SAG.1_MALV-I	3
ICM0022_SAG.1_MALV-II	5
ICM0023_SAG.1_MAST-8	3
ICM0024_COSAG.1_MAST-8	1
ICM0025_SAG.1_Dictyochophyceae	2
ICM0026_COSAG.1_MAST-1	3
ICM0027_SAG.1_Dictyochophyceae	2
ICM0028_COSAG.1_Mamiellophyceae	2
ICM0029_SAG.1_Chrysophyceae	1
ICM0030_SAG.1_Mamiellophyceae	1
ICM0031_SAG.1_Chrysophyceae	1
ICM0032_SAG.1_MALV-II	2
ICM0033_SAG.1_MALV-II	5
ICM0034_SAG.1_MALV-II	5
ICM0035_SAG.1_MAST-2	4
ICM0036_COSAG.1_Picozoa	3
ICM0037_SAG.1_MAST-3	2
ICM0038_SAG.1_Chrysophyceae	2
ICM0039_SAG.1_Telonemia	5
ICM0040_SAG.1_Picozoa	4
ICM0041_COSAG.1_Chlorarachnea	1
ICM0042_COSAG.1_MAST-4	2
ICM0043_COSAG.1_MAST-7	1
ICM0044_SAG.1_Labyrinthulomycetes	1
ICM0045_COSAG.1_MAST-3	4
ICM0046_SAG.1_MAST-3	3
ICM0047_SAG.1_Endomyxa	2
ICM0048_COSAG.1_Chrysophyceae	1
ICM0049_SAG.1_MAST-7	2
ICM0050_SAG.1_MAST-7	2
ICM0051_COSAG.1_MAST-3	1
ICM0052_COSAG.1_MAST-7	2
ICM0053_COSAG.1_Chrysophyceae	4
ICM0054_COSAG.1_Labyrinthulomycetes	1
ICM0055_SAG.1_Picozoa	1
ICM0056_SAG.1_Choanoflagellata	2
ICM0057_COSAG.1_Unknown	1
ICM0058_SAG.1_Cercozoa	5
ICM0059_SAG.1_MAST-7	2
ICM0060_SAG.1_MAST-1	1
ICM0061_SAG.1_Basidiomycota	4
ICM0062_COSAG.1_Mamiellophyceae	2
ICM0063_COSAG.1_Mamiellophyceae	2
ICM0064_SAG.1_Mamiellophyceae	2
ICM0065_COSAG.1_Prymnesiophyceae	3
ICM0066_SAG.1_Pinguiophyceae	4
ICM0067_COSAG.1_Diatomea	4
ICM0068_COSAG.1_Diatomea	2
ICM0069_SAG.1_Dictyochophyceae	5
