KU525755.1	cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Oligotrichia;Tontoniidae;Spirotontonia;Spirotontonia grandis
KY852257.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Chaetocerotophycidae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros tenuissimus
KY979983.1	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum
KY980041.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Coscinodiscophyceae;Coscinodiscophycidae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris
KY980054.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina
KY980367.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Pirsoniales;Pirsoniaceae;Pirsonia;Pirsonia guinardiae
LC257669.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Pseudophyllomitidae;Pseudophyllomitus;Pseudophyllomitus vesiculosus
AF290540.1	cellular organisms;Eukaryota;Sar;Rhizaria;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas longipes
EF432518.1	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas imperforata
MG022774.1	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia;Karenia mikimotoi
EU011923.1	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Didymoeca;Didymoeca costata
EU011928.1	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Acanthoecidae;Savillea;Savillea micropora
