id	Group	Supergroup
KU525755.1	Ciliophora	Alveolata
MW874840.1	Dinoflagellata	Alveolata
JF791033.1	Dinoflagellata	Alveolata
MG022774.1	Dinoflagellata	Alveolata
JF791049.1	Dinoflagellata	Alveolata
KY979983.1	Dinoflagellata	Alveolata
DQ004734.1	Dinoflagellata	Alveolata
HM581712.1.1768_U|18S_rRNA|nucleus|clone_CNCIII05_210|Eukaryota|TSAR|Alveolata|Ciliophora|Spirotrichea|Oligotrichida|Tontoniidae|Laboea|Laboea_sp.	Ciliophora	Alveolata
KU525756.1.1643_U|18S_rRNA|nucleus||Eukaryota|TSAR|Alveolata|Ciliophora|Spirotrichea|Oligotrichida|Tontoniidae|Laboea|Laboea_strobila	Ciliophora	Alveolata
KJ760553.1.1771_U|18S_rRNA|nucleus|clone_SGYW482|Eukaryota|TSAR|Alveolata|Ciliophora|Spirotrichea|Oligotrichida|Tontoniidae|Spirotontonia|Spirotontonia_sp.	Ciliophora	Alveolata
KJ763014.1.1803_U|18S_rRNA|nucleus|clone_SGUH1422|Eukaryota|TSAR|Alveolata|Dinoflagellata|Dinophyceae|Dinophyceae_X|Dinophyceae_XX|Dinophyceae_XXX|Dinophyceae_XXX_sp.	Dinoflagellata	Alveolata
JQ420086.1.1778_U|18S_rRNA|nucleus|clone_Q1-17|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
KJ763577.1.1794_U|18S_rRNA|nucleus|clone_SGYP1379|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
KJ760589.1.1792_U|18S_rRNA|nucleus|clone_SGYW534|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
KJ763285.1.1791_U|18S_rRNA|nucleus|clone_SGUH722|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
AACY020214703.2677.4468_U|18S_rRNA|nucleus|clone_|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
KJ762901.1.1787_U|18S_rRNA|nucleus|clone_SGUH1167|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
KJ759483.1.1783_U|18S_rRNA|nucleus|clone_SGYO419|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-I|Dino-Group-I-Clade-1|Dino-Group-I-Clade-1_X|Dino-Group-I-Clade-1_X_sp.	MALV-I	Alveolata
HQ866291.1.886_U|18S_rRNA|nucleus|clone_SGSU514|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-1|Dino-Group-II-Clade-1_X|Dino-Group-II-Clade-1_X_sp.	MALV-II	Alveolata
AY129041.1.1797_U|18S_rRNA|nucleus|clone_UEPACAPp3|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-10-and-11|Dino-Group-II-Clade-10-and-11_X|Dino-Group-II-Clade-10-and-11_X_sp.	MALV-II	Alveolata
KJ759699.1.1798_U|18S_rRNA|nucleus|clone_SGYO881|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-10-and-11|Dino-Group-II-Clade-10-and-11_X|Dino-Group-II-Clade-10-and-11_X_sp.	MALV-II	Alveolata
KC582921.1.1797_U|18S_rRNA|nucleus|clone_RS.12f.10m.79|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-10-and-11|Dino-Group-II-Clade-10-and-11_X|Dino-Group-II-Clade-10-and-11_X_sp.	MALV-II	Alveolata
KC582919.1.1797_U|18S_rRNA|nucleus|clone_RS.12f.10m.316|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-16|Dino-Group-II-Clade-16_X|Dino-Group-II-Clade-16_X_sp.	MALV-II	Alveolata
EU793933.1.1559_U|18S_rRNA|nucleus|clone_PROSOPE.EM-5m.190|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-44|Dino-Group-II-Clade-44_X|Dino-Group-II-Clade-44_X_sp.	MALV-II	Alveolata
HQ870611.1.850_U|18S_rRNA|nucleus|clone_SIAA571|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-44|Dino-Group-II-Clade-44_X|Dino-Group-II-Clade-44_X_sp.	MALV-II	Alveolata
KJ760518.1.1794_U|18S_rRNA|nucleus|clone_SGYW426|Eukaryota|TSAR|Alveolata|Dinoflagellata|Syndiniales|Dino-Group-II|Dino-Group-II-Clade-44|Dino-Group-II-Clade-44_X|Dino-Group-II-Clade-44_X_sp.	MALV-II	Alveolata
PX136615.1	Chlorodendrophyceae	Archaeplastida
HE610130.1	Chlorodendrophyceae	Archaeplastida
AJ629844.1	Mamiellophyceae	Archaeplastida
FN562449.1	Mamiellophyceae	Archaeplastida
GQ426331.1	Mamiellophyceae	Archaeplastida
MT117944.1	Mamiellophyceae	Archaeplastida
AY954999.1	Mamiellophyceae	Archaeplastida
PQ048282.1	Mamiellophyceae	Archaeplastida
JX988758.1	Picozoa	Archaeplastida
AB058392.1.1752_U|18S_rRNA|nucleus|strain_MBIC11125|Eukaryota|Archaeplastida|Chlorophyta|Chlorophyta_X|Chlorodendrophyceae|Chlorodendrales|Chlorodendraceae|Tetraselmis|Tetraselmis_sp.	Chlorodendrophyceae	Archaeplastida
AB622308.1.1690_U|18S_rRNA|nucleus|clone_K3OCT2009|Eukaryota|Archaeplastida|Chlorophyta|Chlorophyta_X|Mamiellophyceae|Dolichomastigales|Crustomastigaceae|Crustomastigaceae-AB|Crustomastigaceae-AB_sp.	Mamiellophyceae	Archaeplastida
