Unique ID	Long Name	Higher Taxonomy	Lower Taxonomy	Data Type	Source
Ancytwis	Ancoracysta twista	Alveida	Ancoracysta	Transcriptome	SRR6175506
Crypparv	Cryptosporidium parvum	Alveolata	Apicomplexa	Genomic	GCF_000165345.1
Eimebrun	Eimeria brunetti	Alveolata	Apicomplexa	Genomic	ftp://ftp.ensemblgenomes.org/pub/release-41/protists/fasta/protists_alveolata1_collection/eimeria_brunetti/pep/
Gregniph	Gregarina niphandrodes (GNI3)	Alveolata	Apicomplexa	Genomic	GCF_000223845.1
Plasfalc	Plasmodium falciparum	Alveolata	Apicomplexa	Genomic	GCF_000002765.4
Toxogond	Toxoplasma gondii	Alveolata	Apicomplexa	Genomic	GCF_000006565.2
Alphedax	Alphamonas edax	Alveolata	Chrompodellids	Transcriptomic	SRR1947720
Chroveli	Chromera velia	Alveolata	Chrompodellids	Genomic	https://cryptodb.org/common/downloads/Current_Release/CveliaCCMP2878/fasta/data/
Colpangu	Colpodella angusta	Alveolata	Chrompodellids	Transcriptomic	SRR1946840
Pirisoci	Piridium sociabile	Alveolata	Chrompodellids	Transcriptomic	https://www.biorxiv.org/content/biorxiv/early/2019/05/17/636183.full.pdf
Platviva	Platyproteum vivax	Alveolata	Chrompodellids	Transcriptomic	https://www.biorxiv.org/content/biorxiv/early/2019/05/17/636183.full.pdf
Vitrbras	Vitrella brassicaformis	Alveolata	Chrompodellids	Genomic	https://cryptodb.org/common/downloads/Current_Release/VbrassicaformisCCMP3155/
ICM0146-Ciliophora	ICM0146-SAG1-Ciliophora	Alveolata	Ciliate	SAG	in-house information
Ichtmult	Ichtyopthirius multifiliis	Alveolata	Ciliate	Genomic	GCF_000220395.1
Paratetr	Paramecium tetraurelia	Alveolata	Ciliate	Genomic	GCF_000165425.1
Platmacr	Platyophrya macrostoma	Alveolata	Ciliate	Transcriptomic	https://figshare.com/articles/Marine_Microbial_Eukaryotic_Transcriptome_Sequencing_Project_re-assemblies/3840153/3
Protadhe	Protocruzia adherens	Alveolata	Ciliate	Transcriptomic	SRR1296823
Stencoer	Stentor coeruleus	Alveolata	Ciliate	Genomic	GCA_001970955.1
Stroincl	Strombidium inclinatum	Alveolata	Ciliate	Transcriptomic	SRR1296951
Styllemn	Stylonychia lemnae	Alveolata	Ciliate	Genomic	GCA_000751175.1
Tetrther	Tetrahymena thermophila	Alveolata	Ciliate	Genomic	GCF_000189635.1
Alexminu	Alexandrium minutum	Alveolata	Dinoflagellata	Transcriptome	https://de.cyverse.org/anon-files//iplant/home/shared/imicrobe/projects/104/samples/1814/MMETSP0328_clean.pep.fa
AmoeALEX	Amoebophrya sp. ex Alexandrium tamarense 	Alveolata	Dinoflagellata	Transcriptomic	SRR1296703
HemaVICK	Hematodinium sp.	Alveolata	Dinoflagellata	Transcriptomic	SRR3405007
ICM0005-MALV-I	ICM0005-SAG1-MALV-I	Alveolata	Dinoflagellata	SAG	in-house information
ICM0012-MALV-I	ICM0012-SAG1-MALV-I	Alveolata	Dinoflagellata	SAG	in-house information
ICM0018-MALV-I	ICM0018-SAG1-MALV-I	Alveolata	Dinoflagellata	SAG	in-house information
ICM0020-MALV-II	ICM0020-SAG1-MALV-II	Alveolata	Dinoflagellata	SAG	in-house information
ICM0021-MALV-I	ICM0021-SAG1-MALV-I	Alveolata	Dinoflagellata	SAG	in-house information
ICM0022-MALV-II	ICM0022-SAG1-MALV-II	Alveolata	Dinoflagellata	SAG	in-house information
ICM0032-MALV-II	ICM0032-SAG1-MALV-II	Alveolata	Dinoflagellata	SAG	in-house information
