id	species	in_main_tree	pf_higher_tax	pf_lower_tax	sag_id	fraction	tax_group	sag	name_long	name_short	supergroup	group_tiplab
Pedoelon	Pedospumella elongata	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	italic('Pedospumella elongata')	italic('Pedospumella')	Stramenopiles	ref
Ochr2298	Ochromonadaceae sp. CCMP2298	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	'Ochromonadaceae sp. CCMP2298'	"""CCMP2298"""	Stramenopiles	ref
ICM0080-Chrysophyceae	ICM0080-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0080_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0080_SAG.1_Chrysophyceae')	bold('ICM0080')	Stramenopiles	Stramenopiles
Dino2267	Dinobryon sp.	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	"paste(italic('Dinobryon '),'sp.')"	italic('Dinobryon')	Stramenopiles	ref
PoterBG1	Poteriochromonas sp. BG-1	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	"paste(italic('Poteriochromonas '),'sp. BG-1')"	italic('Poteriochromonas')	Stramenopiles	ref
ICM0085-Chrysophyceae	ICM0085-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0085_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0085_SAG.1_Chrysophyceae')	bold('ICM0085')	Stramenopiles	Stramenopiles
ICM0070-Chrysophyceae	ICM0070-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0070_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0070_SAG.1_Chrysophyceae')	bold('ICM0070')	Stramenopiles	Stramenopiles
ICM0079-Chrysophyceae	ICM0079-COSAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0079_COSAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0079_COSAG.1_Chrysophyceae')	bold('ICM0079')	Stramenopiles	Stramenopiles
ICM0031-Chrysophyceae	ICM0031-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0031_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0031_SAG.1_Chrysophyceae')	bold('ICM0031')	Stramenopiles	Stramenopiles
ICM0098-Chrysophyceae	ICM0098-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0098_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0098_SAG.1_Chrysophyceae')	bold('ICM0098')	Stramenopiles	Stramenopiles
ICM0086-Chrysophyceae	ICM0086-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0086_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0086_SAG.1_Chrysophyceae')	bold('ICM0086')	Stramenopiles	Stramenopiles
ICM0029-Chrysophyceae	ICM0029-SAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0029_SAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0029_SAG.1_Chrysophyceae')	bold('ICM0029')	Stramenopiles	Stramenopiles
ChrysoH2	Chrysophyceae sp. TOSAG23-5	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	'Chrysophyceae sp. TOSAG23-5'	"""TOSAG23-5"""	Stramenopiles	ref
ChrysoH1	Chrysophyceae sp. TOSAG23-4	yes	Stramenopiles	Ochrophyta-Chrysophyceae	NA	NA	Chrysophyceae	FALSE	'Chrysophyceae sp. TOSAG23-4'	"""TOSAG23-4"""	Stramenopiles	ref
ICM0092-Chrysophyceae	ICM0092-COSAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0092_COSAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0092_COSAG.1_Chrysophyceae')	bold('ICM0092')	Stramenopiles	Stramenopiles
ICM0053-Chrysophyceae	ICM0053-COSAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0053_COSAG.1_Chrysophyceae	PF	Chrysophyceae	TRUE	bold('ICM0053_COSAG.1_Chrysophyceae')	bold('ICM0053')	Stramenopiles	Stramenopiles
ICM0002-Chrysophyceae	ICM0002-COSAG1-Chrysophyceae	yes	Stramenopiles	Ochrophyta-Chrysophyceae	ICM0002_COSAG.1_Chrysophyceae	HF	Chrysophyceae	TRUE	bold('ICM0002_COSAG.1_Chrysophyceae')	bold('ICM0002')	Stramenopiles	Stramenopiles
