SAG_id,Sort,Species,Group,Supergroup,Size (Mb),Contigs,GC (%),N50,Completeness (%)
ICM0001_COSAG.1_Mamiellophyceae,pico-PP,Micromonas bravo (99.8%),Mamiellophyceae,Archaeplastida,17.97,1991,67.05,29477,80.78
ICM0002_COSAG.1_Chrysophyceae,pico-PP,Mallomonas annulata (93.1%),Chrysophyceae,Stramenopiles,27.14,5927,38.96,8119,64.31
ICM0003_COSAG.1_Prymnesiophyceae,pico-PP,Prymnesium parvum (95.6%),Prymnesiophyceae,Haptista,23.12,3352,70.63,18419,46.27
ICM0004_COSAG.1_Prymnesiophyceae,pico-PP,Isochrysidales sp1,Prymnesiophyceae,Haptista,8.41,1476,64.18,11696,36.86
ICM0005_SAG.1_MALV-I,pico-HP,MALV-I sp3,MALV-I,Alveolata,13.6,2647,39.39,12802,11.76
ICM0006_COSAG.1_MAST-3,pico-HP,MAST-3C sp2,MAST-3,Stramenopiles,24.48,3291,52.81,16690,75.29
ICM0007_COSAG.1_MAST-3,pico-HP,MAST-3C sp1,MAST-3,Stramenopiles,19.11,3067,52.05,13763,58.82
ICM0008_SAG.1_Choanoflagellata,pico-HP,Monosiga brevicollis (89.5%),Choanoflagellata,Opisthokonta,2.47,744,55.65,4914,12.16
ICM0009_SAG.1_Labyrinthulomycetes,pico-HP,Thraustochytrium multirudimentale (92.2%),Labyrinthulomycetes,Stramenopiles,3.76,908,47.18,7895,12.94
ICM0010_COSAG.1_MAST-4,pico-HP,MAST-4A sp1,MAST-4,Stramenopiles,26.01,9885,34.64,3051,56.86
ICM0011_COSAG.1_Chlorarachnea,pico-HP,Cryothecomonas longipes (87.1%),Chlorarachnea,Rhizaria,29.37,8013,55.84,5986,20
ICM0012_SAG.1_MALV-I,pico-HP,MALV-I sp4,MALV-I,Alveolata,8.65,2161,43.21,8735,9.02
ICM0013_COSAG.1_MAST-1,nano-HP,MAST-1D sp2,MAST-1,Stramenopiles,33.23,9015,62.92,6038,43.14
ICM0014_SAG.1_MAST-1,nano-HP,MAST-1C sp8,MAST-1,Stramenopiles,3.08,1216,51.58,3190,2.35
ICM0015_COSAG.1_Prymnesiophyceae,pico-PP,Syracosphaera pulchra (96.1%),Prymnesiophyceae,Haptista,3.47,572,63.7,13974,15.29
ICM0016_COSAG.1_Dictyochophyceae,pico-PP,Pseudopedinella elastica (93.4%),Dictyochophyceae,Stramenopiles,66.86,9980,51.57,13911,75.29
ICM0017_SAG.1_MAST-8,pico-HP,NA,MAST-8,Stramenopiles,10.87,2408,60.96,8517,18.04
ICM0018_SAG.1_MALV-I,pico-HP,MALV-I sp1,MALV-I,Alveolata,12.51,2172,43.93,15186,16.86
ICM0019_COSAG.1_Choanoflagellata,pico-HP,Acanthocorbis camarensis (91.7%),Choanoflagellata,Opisthokonta,29.63,6365,51.63,7295,79.22
ICM0020_SAG.1_MALV-II,pico-HP,MALV-II sp1,MALV-II,Alveolata,13.77,2051,50.59,19311,24.31
ICM0021_SAG.1_MALV-I,pico-HP,MALV-I sp2,MALV-I,Alveolata,18.23,3164,38.08,14947,25.88
ICM0022_SAG.1_MALV-II,pico-HP,MALV-II sp3,MALV-II,Alveolata,16.2,4116,53.32,6790,7.45
ICM0023_SAG.1_MAST-8,pico-HP,MAST-8D_sp15,MAST-8,Stramenopiles,5.65,1322,58.17,7477,9.41
ICM0024_COSAG.1_MAST-8,nano-HP,MAST-8B sp1,MAST-8,Stramenopiles,24.7,5952,62.42,7505,38.43
ICM0025_SAG.1_Dictyochophyceae,nano-HP,Pseudopedinella elastica (93.0%),Dictyochophyceae,Stramenopiles,9.31,2356,56.61,6588,12.94
ICM0026_COSAG.1_MAST-1,nano-HP,MAST-1C sp1,MAST-1,Stramenopiles,14.31,4259,60.36,5029,10.2
ICM0027_SAG.1_Dictyochophyceae,pico-PP,Pseudopedinella elastica (94.8%),Dictyochophyceae,Stramenopiles,10.59,2459,56.78,7561,15.69
ICM0028_COSAG.1_Mamiellophyceae,pico-PP,Micromonas pusilla (98.3%),Mamiellophyceae,Archaeplastida,10.59,1955,66.96,12638,45.88
ICM0029_SAG.1_Chrysophyceae,pico-PP,Chrysophyceae sp1,Chrysophyceae,Stramenopiles,3.75,727,42.86,10126,15.69
ICM0030_SAG.1_Mamiellophyceae,pico-PP,Bathycoccus prasinos,Mamiellophyceae,Archaeplastida,2,226,48.42,28002,12.55
ICM0031_SAG.1_Chrysophyceae,pico-PP,Paraphysomonas imperforata (91.9%),Chrysophyceae,Stramenopiles,5.17,954,50.83,12821,19.61
ICM0032_SAG.1_MALV-II,pico-HP,MALV-II sp2,MALV-II,Alveolata,15.25,2584,49.04,19812,14.9
ICM0033_SAG.1_MALV-II,pico-HP,MALV-II sp4,MALV-II,Alveolata,13.05,2740,50.96,10706,6.27
ICM0034_SAG.1_MALV-II,nano-HP,MALV-II sp5,MALV-II,Alveolata,30.69,6350,51.37,12408,18.82
ICM0035_SAG.1_MAST-2,nano-HP,MAST-2 sp8,MAST-2,Stramenopiles,6.18,2082,53.93,4247,4.31
ICM0036_COSAG.1_Picozoa,nano-HP,Picomonas judraskeda (96.9%),Picozoa,Archaeplastida,46.2,11971,58.92,6687,45.88
ICM0037_SAG.1_MAST-3,nano-HP,MAST-3G sp5,MAST-3,Stramenopiles,10.08,2538,58.89,6793,17.25
ICM0038_SAG.1_Chrysophyceae,nano-HP,Paraphysomonas imperforata (99.1%),Chrysophyceae,Stramenopiles,13.53,2650,38.46,11464,29.8
ICM0039_SAG.1_Telonemia,nano-HP,Telonema antarcticum (96.3%),Telonemia,Telonemia,15.2,3706,53.19,7943,10.59
ICM0040_SAG.1_Picozoa,nano-HP,Picomonas judraskeda (97.9%),Picozoa,Archaeplastida,8.24,1905,54.72,8738,10.2
ICM0041_COSAG.1_Chlorarachnea,pico-HP,Minorisa minuta (99.9%),Chlorarachnea,Rhizaria,32.92,5946,56.57,11842,88.24
ICM0042_COSAG.1_MAST-4,pico-HP,MAST-4C sp1,MAST-4,Stramenopiles,40.23,6212,40.89,14893,89.02
ICM0043_COSAG.1_MAST-7,pico-HP,MAST-7C sp4,MAST-7,Stramenopiles,27.4,5253,57.28,8961,43.92
ICM0044_SAG.1_Labyrinthulomycetes,pico-HP,Labyrinthuloides haliotidis (89.0%),Labyrinthulomycetes,Stramenopiles,10.36,1664,51.36,14430,35.69
ICM0045_COSAG.1_MAST-3,pico-HP,MAST-3K sp5,MAST-3,Stramenopiles,40.55,7947,40.46,12431,80
ICM0046_SAG.1_MAST-3,pico-HP,MAST-3 sp1,MAST-3,Stramenopiles,11.19,2512,49.77,7541,27.45
ICM0047_SAG.1_Endomyxa,pico-HP,Endomyxa sp1,Endomyxa,Rhizaria,13.62,1994,58.88,16789,52.55
ICM0048_COSAG.1_Chrysophyceae,pico-PP,Hydrurus foetidus (92.5%),Chrysophyceae,Stramenopiles,19.84,3172,34.8,20761,63.14
ICM0049_SAG.1_MAST-7,pico-HP,MAST-7B sp4,MAST-7,Stramenopiles,10.38,1380,44.63,18694,21.18
ICM0050_SAG.1_MAST-7,pico-HP,MAST-7B sp4b,MAST-7,Stramenopiles,17.15,2560,44.66,12941,38.82
ICM0051_COSAG.1_MAST-3,pico-HP,MAST-3F sp2,MAST-3,Stramenopiles,16.81,2344,55.93,19663,30.59
ICM0052_COSAG.1_MAST-7,pico-HP,MAST-7D sp2,MAST-7,Stramenopiles,36.91,8081,54.75,8515,67.84
ICM0053_COSAG.1_Chrysophyceae,pico-PP,Mallomonas annulata (93.3%),Chrysophyceae,Stramenopiles,38.07,6302,41.01,9917,77.65
ICM0054_COSAG.1_Labyrinthulomycetes,pico-HP,Thraustochytrium gaertnerium (78.8%),Labyrinthulomycetes,Stramenopiles,23.95,6869,46.14,5891,78.04
ICM0055_SAG.1_Picozoa,pico-HP,Picomonas judraskeda (97.1%),Picozoa,Archaeplastida,12.39,1577,52.2,15361,20.78
ICM0056_SAG.1_Choanoflagellata,pico-HP,Savillea micropora (94.7%),Choanoflagellata,Opisthokonta,19.59,3083,52.39,11725,48.63
ICM0057_COSAG.1_Unknown,pico-HP,Unknown sp1,Unknown,Unknown,3.58,855,50.25,5756,9.41
