figure	caption
S1	**Fig. S1.** Analysis of cross-eukaryotic and prokaryotic contamination in the 325 SAGs. (*A*) Number of mitags (Illumina V4-18S rDNA reads) retrieved in 272 SAGs (upper) and percentage of them affiliating to the same taxonomic group (lower). (*B*) Assembly size corresponding to prokaryotes in all the SAGs (above) and the percentage they represent (prokaryotic signal in purple and eukaryotic signal in green) in initial assemblies (below). (*C*) Blob tools analyses of the SAGs with highest prokaryotic signal showing that prokaryotic contigs (in purple) consistently display distinct genomic signatures.
S2	**Fig. S2.** Maximum likelihood phylogenetic tree based on the 18S rDNA gene, including 268 SAGs having this gene (199 with sequences >1500 bp) and reference sequences from PR2 and NCBI. Reference sequences include the top five BLAST matches from PR2 for each SAG and the closest cultured match (CCM) from NCBI, clustered at 99% sequence identity (retaining CCMs as cluster representatives). Sequences were aligned using MAFFT (−auto) and trimmed using trimAl (−gt 0.05). The tree was reconstructed in IQ−TREE using the GTR+F+R5 model. Tips are colored by supergroup. With one exception (GC1003827_G04), all SAGs map to their expected phylogenetic clade, consistent with subsequent phylogenomic validation.
S3	**Fig. S3.** Genome similarity among SAGs within each co−assembly (*A*) and between closely distinct genomes (*B*). Pairwise average nucleotide identity (ANI) comparisons were calculated by fragmenting the subject genome into 1 kb segments and using BLAST hits with a query ≥0.5 kb. The similarity against the queried genome size was distributed in 1% bins histograms. Panels from (*B*), comparing different genomes, also display the sequence similarity of the 18S rDNA genes (the first 7 cases are those matching the same ASV) and the fraction of the genome that has been compared.
S4	**Fig. S4.** Full multigene phylogenetic tree of the 147 final genomes and 304 reference genomes. The tree was estimated in IQ−TREE with model LG+C60+F+G+PMSF, using a supermatrix of 240 conserved marker proteins constructed with PhyloFisher. SAGs and reference genomes are colored by supergroup. Taxonomic groups containing SAGs are indicated. Bootstrap support is shown for all clades, with nodes highlighted in black when support is 100% and in grey when only slightly lower.
S5	**Fig. S5.** Biogeography and habitat coverage of ASVs assigned to the final genomes. Distribution of the relative abundance per sample of ASVs corresponding to the final genomes across three large−scale metabarcoding datasets: BBMO (32 samples), OSD (319 samples), and EukBank (8435 samples). The EukBank dataset is further subdivided into five major habitat categories: marine water (6545 samples), marine sediment (634 samples), freshwater (237 samples), freshwater sediment (153 samples) and soils (866 samples).
S6	**Fig. S6.** Genome streamlining in dominant marine species within the available genomic context for Prymnesiophyceae (*A*), Chrysophyceae (*B*) and Chlorarachnea (*C*). A subset of the phylogenomic tree in Fig. S4 is displayed for each group (species in grey lack genomic data). Species represented by SAGs include their relative abundance (colored dots following the code in Fig. 4). When available, the estimated genome size and the distribution among exonic, intronic, and intergenic regions are shown. Many of the most abundant species exhibit indications of genome streamlining, having more compact genomes (smaller and with fewer introns) than closely related species. This pattern is particularly evident for ICM0004 and ICM0015 (*A*), ICM0079 and ICM0098 (*B*) and ICM0041 (*C*).
S7	**Fig. S7.** Placement of SAGs within taxonomic groups in the PCA plot shown in Fig. 4A. Separate plots are presented for each distinct taxonomic group. Shaded areas indicate k−means clusters.
S8	**Fig. S8.** Pfam domains enriched in SAGs as compared as the EukProt database of protist proteins. They are separated by being enriched only in HP, only in PP, or in the complete pool. Color intensity indicate the percentage of SAGs with the domain enriched in each subgroup.
S9	**Fig. S9.** Phylogenetic tree to place rhodopsin genes extracted from SAGs. Rhodopsin genes (158 genes; bold in the tree) were retrieved with the Pfam domain PF01036 from the gene annotations, and combined with the sequences (and group delineation) presented in Galindo et al. 2025 (40) and with 52 MarFERReT sequences that had < 97% identity to PNAS references for a phylogenetic tree. The phylogenetic group of each sequence is indicated after the name.
S10	**Fig. S10.** Flow cytogram of the unstained sample collected in September 2020. Large dots indicate sorted cells, which were classified as pico−PP and nano−PP based on flow cytometric indices.
