#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GC1003827_G04_NODE_1_length_9608_cov_4.312942	1	9608	2639	9608	100	36.4486	35.3	53
GC1003827_G04_NODE_2_length_9596_cov_8.611680	1	9596	5143	9596	100	73.836	35.3	57.7
GC1003827_G04_NODE_3_length_9467_cov_5.359101	1	9467	4130	9467	100	55.0577	35.3	55
GC1003827_G04_NODE_4_length_9450_cov_6.083986	1	9450	3396	9446	99.9577	49.9328	35.4	58.9
GC1003827_G04_NODE_5_length_9073_cov_5.529399	1	9073	2864	9071	99.978	45.0513	35.4	59.5
GC1003827_G04_NODE_6_length_8245_cov_9.526854	1	8245	4657	8236	99.8908	79.0925	35.4	59.1
GC1003827_G04_NODE_7_length_8192_cov_7.388221	1	8192	3690	8192	100	63.2965	35.3	59.1
GC1003827_G04_NODE_8_length_8114_cov_7.664956	1	8114	3532	8114	100	61.5205	35.3	59.5
GC1003827_G04_NODE_9_length_7543_cov_5.397923	1	7543	2328	7531	99.8409	43.7814	35.4	59
GC1003827_G04_NODE_10_length_7483_cov_5.939097	1	7483	5288	7475	99.8931	78.5861	34.6	34.5
GC1003827_G04_NODE_11_length_7480_cov_3.977152	1	7480	1688	7480	100	32.2783	35.4	59.6
GC1003827_G04_NODE_12_length_7278_cov_4.631940	1	7278	2019	7278	100	38.8282	35.3	59.1
GC1003827_G04_NODE_13_length_7233_cov_8.085843	1	7233	3605	7233	100	68.7633	35.4	58.9
GC1003827_G04_NODE_14_length_7187_cov_6.601841	1	7187	2791	7187	100	54.9693	35.5	59.4
GC1003827_G04_NODE_15_length_7181_cov_6.999716	1	7181	3329	7172	99.8747	63.9769	35.3	58.9
GC1003827_G04_NODE_16_length_7063_cov_6.084343	1	7063	2433	7063	100	48.717	35.5	59.4
GC1003827_G04_NODE_17_length_6994_cov_5.297801	1	6994	2153	6993	99.9857	43.7178	35.3	59.3
GC1003827_G04_NODE_18_length_6972_cov_7.538203	1	6972	3078	6972	100	62.3643	35.4	59
GC1003827_G04_NODE_19_length_6962_cov_6.977176	1	6962	2731	6962	100	56.0724	35.4	59.5
GC1003827_G04_NODE_20_length_6933_cov_7.307670	1	6933	2828	6923	99.8558	57.8636	35.3	59.2
GC1003827_G04_NODE_21_length_6888_cov_2.994084	1	6888	1180	6888	100	23.8937	35.3	58.3
GC1003827_G04_NODE_22_length_6870_cov_5.673884	1	6870	2504	6870	100	48.6096	35.4	53.6
GC1003827_G04_NODE_23_length_6829_cov_4.001791	1	6829	1819	6829	100	36.6366	35.5	57.5
GC1003827_G04_NODE_24_length_6814_cov_9.345745	1	6814	3574	6814	100	75.0694	35.5	59.6
GC1003827_G04_NODE_25_length_6790_cov_5.304067	1	6790	2027	6790	100	42.0477	35.4	59.2
GC1003827_G04_NODE_26_length_6770_cov_4.825982	1	6770	4995	6770	100	78.697	34.4	27.8
GC1003827_G04_NODE_27_length_6767_cov_5.819578	1	6767	2231	6767	100	46.082	35.5	58.1
GC1003827_G04_NODE_28_length_6612_cov_6.778720	1	6612	2666	6612	100	56.6564	35.4	59.3
GC1003827_G04_NODE_29_length_6582_cov_5.313555	1	6582	1937	6582	100	42.1998	35.3	59.3
GC1003827_G04_NODE_30_length_6574_cov_3.496200	1	6574	1371	6574	100	28.9176	35.3	58.8
GC1003827_G04_NODE_31_length_6559_cov_5.525498	1	6559	2139	6559	100	45.8422	35.3	58.5
GC1003827_G04_NODE_32_length_6534_cov_6.361792	1	6534	2316	6534	100	50.4552	35.3	59.3
GC1003827_G04_NODE_33_length_6499_cov_6.078311	1	6499	2256	6499	100	47.589	35.4	55.7
GC1003827_G04_NODE_34_length_6499_cov_4.031230	1	6499	1509	6499	100	32.709	35.2	59.4
GC1003827_G04_NODE_35_length_6486_cov_11.873408	1	6486	4542	6486	100	97.562	35.4	59.1
GC1003827_G04_NODE_36_length_6481_cov_6.795090	1	6481	2654	6481	100	57.4447	35.5	59.2
GC1003827_G04_NODE_37_length_6481_cov_5.497010	1	6481	2015	6471	99.8457	44.1071	35.3	58.6
GC1003827_G04_NODE_38_length_6470_cov_5.296863	1	6470	3268	6470	100	60.7066	35	44.6
GC1003827_G04_NODE_39_length_6469_cov_4.780196	1	6469	1764	6467	99.9691	38.6446	35.4	59.1
GC1003827_G04_NODE_40_length_6468_cov_4.921621	1	6468	1913	6468	100	41.9196	35.2	59.5
GC1003827_G04_NODE_41_length_6443_cov_5.477834	1	6443	1904	6434	99.8603	42.4068	35.4	59.5
GC1003827_G04_NODE_42_length_6442_cov_3.787965	1	6442	1356	6442	100	29.9511	35.4	59.3
GC1003827_G04_NODE_43_length_6436_cov_15.341576	1	6436	7587	6436	100	151.685	35.4	56.9
GC1003827_G04_NODE_44_length_6426_cov_3.689157	1	6426	1442	6426	100	31.4166	35.5	58.8
GC1003827_G04_NODE_45_length_6410_cov_4.593665	1	6410	1602	6410	100	36.1749	35.4	59.7
GC1003827_G04_NODE_46_length_6402_cov_9.255139	1	6402	3477	6391	99.8282	76.681	35.4	59.4
GC1003827_G04_NODE_47_length_6395_cov_3.397735	1	6395	1220	6395	100	27.4905	35.3	59.7
GC1003827_G04_NODE_48_length_6381_cov_4.957307	1	6381	1935	6381	100	40.3821	35.2	54.1
GC1003827_G04_NODE_49_length_6381_cov_4.287816	1	6381	1490	6381	100	33.4799	35.5	59.4
GC1003827_G04_NODE_50_length_6366_cov_7.108992	1	6366	2691	6366	100	58.557	35.4	58.4
GC1003827_G04_NODE_51_length_6366_cov_6.470107	1	6366	2299	6363	99.9529	50.9494	35.4	59.2
GC1003827_G04_NODE_52_length_6365_cov_5.397724	1	6365	1883	6365	100	42.1683	35.4	59.4
GC1003827_G04_NODE_53_length_6304_cov_9.049215	1	6304	3570	6294	99.8414	80.2919	35.5	59.2
GC1003827_G04_NODE_54_length_6300_cov_7.332739	1	6300	2582	6300	100	58.0486	35.5	59.3
GC1003827_G04_NODE_55_length_6266_cov_7.560841	1	6266	2853	6266	100	63.0584	35.4	59.2
GC1003827_G04_NODE_56_length_6250_cov_5.164625	1	6250	1853	6212	99.392	41.5307	35.5	58.2
GC1003827_G04_NODE_57_length_6219_cov_4.846684	1	6219	1740	6209	99.8392	39.6117	35.4	59
GC1003827_G04_NODE_58_length_6218_cov_3.489246	1	6218	1422	6218	100	31.2284	35.4	58.3
GC1003827_G04_NODE_59_length_6194_cov_4.741882	1	6194	1652	6194	100	37.6413	35.3	59.3
GC1003827_G04_NODE_60_length_6160_cov_5.877507	1	6160	2998	6160	100	59.1235	34.8	42.7
GC1003827_G04_NODE_61_length_6155_cov_3.509788	1	6155	1211	6155	100	28.0712	35.1	59.5
GC1003827_G04_NODE_62_length_6143_cov_5.057680	1	6143	2182	6143	100	47.414	35	56.9
GC1003827_G04_NODE_63_length_6120_cov_4.529284	1	6120	1727	6110	99.8366	38.7641	35.4	58.2
GC1003827_G04_NODE_64_length_6068_cov_4.532065	1	6068	1591	6067	99.9835	36.6106	35.3	58.9
GC1003827_G04_NODE_65_length_6062_cov_9.217860	1	6062	3254	6062	100	74.7214	35.4	58.5
GC1003827_G04_NODE_66_length_6021_cov_4.300984	1	6021	1890	6021	100	38.6788	35.1	47.6
GC1003827_G04_NODE_67_length_6012_cov_20.042821	1	6012	12490	6012	100	238.789	35.4	54.5
GC1003827_G04_NODE_68_length_5983_cov_2.062671	1	5983	1078	5983	100	20.056	34.8	40.8
GC1003827_G04_NODE_69_length_5977_cov_6.290085	1	5977	2476	5968	99.8494	54.7101	35.3	54.8
GC1003827_G04_NODE_70_length_5973_cov_4.995553	1	5973	1906	5973	100	44.5152	35.3	59.1
GC1003827_G04_NODE_71_length_5958_cov_7.756474	1	5958	3159	5958	100	69.2414	35.3	58.5
GC1003827_G04_NODE_72_length_5941_cov_9.517716	1	5941	3820	5941	100	88.2833	35.4	58.5
GC1003827_G04_NODE_73_length_5931_cov_5.779635	1	5931	2010	5922	99.8483	47.5193	35.4	59.4
GC1003827_G04_NODE_74_length_5907_cov_6.572837	1	5907	2273	5907	100	54.4547	35.5	59.2
GC1003827_G04_NODE_75_length_5895_cov_12.196775	1	5895	5120	5895	100	118.879	35.5	57.9
GC1003827_G04_NODE_76_length_5891_cov_4.910826	1	5891	1619	5891	100	38.9808	35.4	59.6
GC1003827_G04_NODE_77_length_5863_cov_11.928522	1	5863	4521	5863	100	106.578	35.3	58.1
GC1003827_G04_NODE_78_length_5848_cov_4.606188	1	5848	1596	5848	100	38.0961	35.2	58.8
GC1003827_G04_NODE_79_length_5843_cov_3.197166	1	5843	1018	5843	100	25.0986	35.3	59.5
