#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
P4_41_NODE_1_length_53730_cov_4216.952297	1	53730	13774649	53730	100	35662.1	35.9	59.8
P4_41_NODE_2_length_52686_cov_10.614681	1	52686	32393	52686	100	84.7473	36	59.8
P4_41_NODE_3_length_48520_cov_33.224206	1	48520	93306	48520	100	265.318	36	59.9
P4_41_NODE_4_length_41307_cov_5.578825	1	41307	13538	41307	100	44.9969	36	59.8
P4_41_NODE_5_length_32254_cov_6.531578	1	32254	12996	32254	100	54.3042	35.8	58.8
P4_41_NODE_6_length_29523_cov_2.471357	1	29523	4464	29523	100	20.3909	36	59.6
P4_41_NODE_7_length_27882_cov_6.794199	1	27882	11127	27882	100	54.7516	36	59.6
P4_41_NODE_8_length_27226_cov_4.232887	1	27226	6685	27226	100	33.5604	36	59.2
P4_41_NODE_9_length_26512_cov_5.496684	1	26512	8784	26512	100	45.0121	35.9	59.5
P4_41_NODE_10_length_26054_cov_4.676785	1	26054	7464	26054	100	38.9372	35.9	59.1
P4_41_NODE_11_length_25939_cov_2.921819	1	25939	4495	25939	100	23.6123	36.1	59.7
P4_41_NODE_12_length_25870_cov_4.393855	1	25870	6630	25870	100	35.0233	36	59.1
P4_41_NODE_13_length_24965_cov_11.800105	1	24965	17013	24965	100	93.7728	36	59.8
P4_41_NODE_14_length_24523_cov_7.380472	1	24523	10786	24523	100	59.9281	36	59.8
P4_41_NODE_15_length_24428_cov_7.744208	1	24428	10146	24428	100	56.7799	36	52.9
P4_41_NODE_16_length_23896_cov_14.529934	1	23896	19083	23896	100	109.433	36	55.6
P4_41_NODE_17_length_23723_cov_2.883751	1	23723	4110	23723	100	23.5547	35.9	59.5
P4_41_NODE_18_length_21883_cov_4.863946	1	21883	6087	21882	99.9954	38.4867	36	59.7
P4_41_NODE_19_length_21871_cov_3.331678	1	21871	4571	21871	100	27.2788	35.9	56.2
P4_41_NODE_20_length_21619_cov_2.096175	1	21619	2662	21619	100	16.7688	36	59.1
P4_41_NODE_21_length_21162_cov_12.357975	1	21162	15027	21162	100	97.5192	36.1	58.9
