qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle	staxid	lineage	species
ICM0001_COSAG.1_Mamiellophyceae	gi|3117643002|emb|OZ371821.1|	99.944	1776	1	0	1	1776	566260	568035	0	3275	Micromonas bravo strain RCC418 genome assembly, chromosome: 11	296588	cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas bravo	Micromonas bravo
ICM0002_COSAG.1_Chrysophyceae	gi|5257251|gb|AF123297.1|AF123297	92.758	1795	95	31	3	1776	2	1782	0	2562	Chrysolepidomonas dendrolepidota small subunit ribosomal RNA gene, partial sequence	64707	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales;Chrysolepidomonadaceae;Chrysolepidomonas;Chrysolepidomonas dendrolepidota	Chrysolepidomonas dendrolepidota
ICM0003_COSAG.1_Prymnesiophyceae	gi|3204173|emb|AJ004868.1|	95.715	1797	70	5	4	1799	1	1791	0	2887	Prymnesium aff. polylepis 18S rRNA gene, strain PCC200	412153	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium aff. polylepis	Prymnesium aff. polylepis
ICM0005_SAG.1_MALV-I	gi|1185663359|gb|KY979983.1|	99.438	712	4	0	1	712	410	1121	0	1293	Karlodinium veneficum isolate NY13S_37 small subunit ribosomal RNA gene, partial sequence	407301	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum
ICM0006_COSAG.1_MAST-3	gi|1185663430|gb|KY980054.1|	94.501	1673	81	11	27	1689	2	1673	0	2569	Incisomonas marina isolate NY13S_198 small subunit ribosomal RNA gene, partial sequence	1167876	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina	Incisomonas marina
ICM0007_COSAG.1_MAST-3	gi|1185663430|gb|KY980054.1|	94.545	1705	80	13	84	1778	2	1703	0	2621	Incisomonas marina isolate NY13S_198 small subunit ribosomal RNA gene, partial sequence	1167876	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;Incisomonas;Incisomonas marina	Incisomonas marina
ICM0008_SAG.1_Choanoflagellata	gi|173704|gb|L10823.1|AHCSSRRNA	89.792	480	39	10	4	476	529	1005	3.1099999999999997e-168	606	Acanthocoepsis unguiculata 16S-like small subunit ribosomal RNA	698876	cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Acanthoecida;Stephanoecidae;Acanthocorbis;Acanthocorbis unguiculata	Acanthocorbis unguiculata
ICM0009_SAG.1_Labyrinthulomycetes	gi|5509890|dbj|AB022111.1|	92.167	1749	110	23	1	1732	26	1764	0	2446	Thraustochytrium multirudimentale gene for 18S rRNA	87105	cellular organisms;Eukaryota;Sar;Stramenopiles;Bigyra;Labyrinthulomycetes;Thraustochytrida;Thraustochytriidae;Thraustochytrium;Thraustochytrium multirudimentale	Thraustochytrium multirudimentale
ICM0010_COSAG.1_MAST-4	gi|329343394|gb|HQ912565.1|	87.735	1810	191	26	6	1802	1	1792	0	2084	Brockmanniella brockmannii strain CCMP151 18S small subunit ribosomal RNA gene, partial sequence	655750	cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Bacillariophyta;Mediophyceae;Cymatosirophycidae;Cymatosirales;Cymatosiraceae;Brockmanniella;Brockmanniella brockmannii	Brockmanniella brockmannii
ICM0011_COSAG.1_Chlorarachnea	gi|3047580819|gb|PX213583.1|	87.269	1838	188	34	1	1809	1	1821	0	2056	Filosa sp. NC6 isolate TBS20 small subunit ribosomal RNA gene, partial sequence	3457929	NA	NA
ICM0012_SAG.1_MALV-I	gi|343456256|gb|JF791049.1|	95.714	630	23	4	44	670	36	664	0	1011	Karlodinium micrum clone 7901 18S ribosomal RNA gene, partial sequence	407301	cellular organisms;Eukaryota;Sar;Alveolata;Dinophyceae;Gymnodiniales;Kareniaceae;Karlodinium;Karlodinium veneficum	Karlodinium veneficum
ICM0013_COSAG.1_MAST-1	gi|927412|emb|X80344.1|	91.41	1816	129	22	1	1796	3	1811	0	2464	H.catenoides gene for 18S ribosomal RNA	42384	cellular organisms;Eukaryota;Sar;Stramenopiles;Hyphochytriomycetes;Hyphochytriales;Hyphochytriaceae;Hyphochytrium;Hyphochytrium catenoides	Hyphochytrium catenoides
ICM0014_SAG.1_MAST-1	gi|2732853801|gb|PP795565.1|	90.585	393	27	9	1	389	1182	1568	5.609999999999999e-140	512	Koktebelia satura strain Colp-Nor4 small subunit ribosomal RNA gene, partial sequence	2898046	cellular organisms;Eukaryota;Sar;Stramenopiles;Pirsoniales;Pirsoniaceae;Koktebelia;Koktebelia satura	Koktebelia satura
ICM0015_COSAG.1_Prymnesiophyceae	gi|303431888|emb|AM490987.2|	96.07	1654	54	8	20	1663	1	1653	0	2684	Syracosphaera pulchra partial 18S rRNA gene, strain ALGO GK 17	418946	cellular organisms;Eukaryota;Haptista;Haptophyta;Prymnesiophyceae;Syracosphaerales;Syracosphaeraceae;Syracosphaera;Syracosphaera pulchra	Syracosphaera pulchra
