#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
GC1003827_F08_NODE_1_length_20588_cov_4.326377	1	20588	4953	20588	100	34.2474	35.3	59.2
GC1003827_F08_NODE_2_length_19381_cov_6.994339	1	19381	7659	19381	100	56.1315	35.5	59.1
GC1003827_F08_NODE_3_length_18184_cov_6.254250	1	18184	6299	18184	100	49.4683	35.5	59.1
GC1003827_F08_NODE_4_length_16644_cov_10.725979	1	16644	9992	16643	99.994	84.856	35.6	58.9
GC1003827_F08_NODE_5_length_16184_cov_6.869527	1	16184	6280	16184	100	54.902	35.5	59.1
GC1003827_F08_NODE_6_length_15822_cov_7.811660	1	15822	6838	15821	99.9937	61.5815	35.5	59.2
GC1003827_F08_NODE_7_length_15346_cov_3.230633	1	15346	2726	15346	100	25.2036	35.4	58.9
GC1003827_F08_NODE_8_length_14943_cov_11.814660	1	14943	9663	14943	100	92.2686	35.6	59.2
GC1003827_F08_NODE_9_length_14881_cov_6.273214	1	14881	5151	14881	100	49.1341	35.5	58.9
GC1003827_F08_NODE_10_length_14744_cov_7.258056	1	14744	5907	14744	100	57.38	35.6	59.3
GC1003827_F08_NODE_11_length_14489_cov_4.828297	1	14489	3856	14469	99.862	37.9843	35.5	59.3
GC1003827_F08_NODE_12_length_14286_cov_5.220001	1	14286	4190	14286	100	41.6707	35.5	59.2
GC1003827_F08_NODE_13_length_14276_cov_6.072090	1	14276	5168	14276	100	50.7656	35.5	58.9
GC1003827_F08_NODE_14_length_14197_cov_8.611158	1	14197	6670	14197	100	67.3356	35.5	59.3
GC1003827_F08_NODE_15_length_14188_cov_6.291587	1	14188	4918	14188	100	49.0619	35.5	58.3
GC1003827_F08_NODE_16_length_13746_cov_4.373963	1	13746	3317	13746	100	34.4636	35.5	59.3
GC1003827_F08_NODE_17_length_13501_cov_10.822641	1	13501	8184	13501	100	86.1922	35.6	59.1
GC1003827_F08_NODE_18_length_13350_cov_5.419874	1	13350	4006	13350	100	42.8221	35.3	59.3
GC1003827_F08_NODE_19_length_12924_cov_11.913730	1	12924	9013	12924	100	97.7671	35.6	58.9
GC1003827_F08_NODE_20_length_12892_cov_6.814493	1	12892	4826	12892	100	53.248	35.4	58.9
GC1003827_F08_NODE_21_length_12760_cov_4.436080	1	12760	3158	12750	99.9216	35.2161	35.5	59.2
GC1003827_F08_NODE_22_length_12642_cov_5.115621	1	12642	3521	12642	100	39.6134	35.6	59.1
